timeOnIce,goals,assists,plusMinus,powerPlayGoals,shots,hits,penaltyMinutes,points
602.4,0.2,0.2,0.2,0.0,1.8,1.6,0.4,0.0
665.0,0.2,0.2,0.2,0.0,1.8,1.8,0.4,0.0
678.0,0.2,0.0,0.2,0.0,1.2,1.4,0.4,0.0
777.6,0.2,0.0,0.0,0.0,1.2,1.6,0.0,2.0
823.4,0.4,0.0,0.0,0.2,1.6,1.0,0.4,0.0
808.6,0.4,0.0,-0.2,0.2,1.8,1.0,0.4,0.0
841.6,0.4,0.0,-0.4,0.2,1.8,1.2,0.4,0.0
832.0,0.4,0.0,-0.4,0.2,2.0,1.4,0.4,0.0
795.8,0.4,0.0,-0.2,0.2,2.0,1.4,0.4,0.0
765.6,0.0,0.0,-0.4,0.0,1.8,1.0,0.0,0.0
769.2,0.0,0.0,-0.2,0.0,1.4,1.2,0.0,1.0
755.6,0.2,0.0,0.2,0.0,1.4,1.0,0.0,0.0
759.8,0.2,0.0,0.0,0.0,1.2,1.0,0.0,0.0
720.2,0.2,0.0,-0.2,0.0,1.0,0.8,0.4,1.0
710.0,0.4,0.0,-0.2,0.0,1.0,0.8,0.4,0.0
709.4,0.4,0.0,-0.2,0.0,1.4,0.6,0.4,1.0
717.8,0.2,0.2,-0.2,0.0,1.4,0.8,0.4,0.0
726.2,0.2,0.2,0.0,0.0,1.4,0.8,0.4,0.0
782.0,0.2,0.2,0.2,0.0,1.6,0.8,0.0,0.0
809.8,0.0,0.2,0.2,0.0,1.4,0.8,0.0,0.0
807.4,0.0,0.2,0.2,0.0,1.2,0.8,0.0,0.0
775.4,0.0,0.0,-0.2,0.0,1.0,0.6,0.0,0.0
782.6,0.0,0.0,-0.2,0.0,1.4,1.4,0.0,1.0
785.6,0.2,0.0,-0.2,0.2,1.6,1.6,0.0,0.0
783.0,0.2,0.0,-0.2,0.2,1.8,1.6,0.0,0.0
808.2,0.2,0.0,-0.2,0.2,1.8,1.6,0.0,0.0
829.2,0.2,0.0,-0.2,0.2,2.0,1.8,0.0,0.0
832.2,0.2,0.0,-0.2,0.2,1.8,1.0,0.0,0.0
817.4,0.0,0.0,-0.4,0.0,1.4,0.8,0.0,0.0
831.0,0.0,0.0,-0.8,0.0,1.2,1.2,0.0,0.0
851.0,0.0,0.0,-0.8,0.0,1.0,1.4,0.0,0.0
870.6,0.0,0.0,-0.6,0.0,1.0,1.4,0.0,0.0
872.0,0.0,0.0,-0.6,0.0,0.6,1.2,0.0,0.0
885.6,0.0,0.0,-0.4,0.0,0.6,1.0,0.0,1.0
867.6,0.2,0.0,0.2,0.0,0.8,0.6,0.0,0.0
874.6,0.2,0.0,-0.2,0.0,1.0,0.4,0.0,1.0
850.4,0.4,0.0,-0.2,0.2,1.2,0.4,0.0,0.0
844.2,0.4,0.0,-0.4,0.2,2.0,0.6,0.0,0.0
820.0,0.4,0.0,-0.4,0.2,1.8,0.6,0.0,0.0
824.2,0.2,0.0,-0.8,0.2,1.8,0.8,0.4,0.0
